Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Knowledge Management,"Klaus North, Gita Kumta",2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-59977-9,978-3-319-59978-6,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-59978-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-59978-6,Business and Management; Knowledge Management; Innovation/Technology Management; Organization; Industrial Organization,Springer International Publishing,Springer
An Introduction to Zooarchaeology,Diane Gifford-Gonzalez,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-65680-9,978-3-319-65682-3,EN,English/International,41176,Social Sciences,,,,,,http://doi.org/10.1007/978-3-319-65682-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65682-3,Social Sciences; Archaeology,Springer International Publishing,Springer
Abstract Algebra,Gregory T. Lee,1st ed. 2018,Undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-77648-4,978-3-319-77649-1,EN,English/International,11649,Mathematics and Statistics,,1615-2085,2197-4144,Springer Undergraduate Mathematics Series,,http://doi.org/10.1007/978-3-319-77649-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77649-1,Mathematics; Group Theory and Generalizations; Associative Rings and Algebras; Field Theory and Polynomials,Springer International Publishing,Springer
Criminal Justice and Mental Health,"Jada Hector, David Khey",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-76441-2,978-3-319-76442-9,EN,English/International,41177,Law and Criminology,,,,,,http://doi.org/10.1007/978-3-319-76442-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-76442-9,"Criminology and Criminal Justice; Criminology and Criminal Justice, general; Psychotherapy and Counseling",Springer International Publishing,Springer
Philosophy of Race,Naomi Zack,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-78728-2,978-3-319-78729-9,EN,English/International,41175,Religion and Philosophy,,,,Palgrave Philosophy Today,,http://doi.org/10.1007/978-3-319-78729-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78729-9,Philosophy; Critical Theory; African American Culture; Philosophy of Man; Social Philosophy; African Literature,Springer International Publishing,Palgrave Macmillan
"Of Cigarettes, High Heels, and Other Interesting Things",Marcel Danesi,3rd ed. 2018,Undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-1-349-95347-9,978-1-349-95348-6,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1057/978-1-349-95348-6,http://link.springer.com/openurl?genre=book&isbn=978-1-349-95348-6,Popular Science; Popular Science in Cultural and Media Studies; Media and Communication; Semiotics; Popular Culture; Cultural Anthropology; Sociolinguistics,Palgrave Macmillan US,Palgrave Macmillan
Applied Bioinformatics,"Paul M. Selzer, Richard J. Marhöfer, Oliver Koch",2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-68299-0,978-3-319-68301-0,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-68301-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68301-0,Life Sciences; Bioinformatics; Computer Appl. in Life Sciences; Computational Biology/Bioinformatics; Computer Applications in Chemistry,Springer International Publishing,Springer
Linear Algebra and Analytic Geometry for Physical Sciences,"Giovanni Landi, Alessandro Zampini",1st ed. 2018,Undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-78360-4,978-3-319-78361-1,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-78361-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78361-1,"Physics; Mathematical Methods in Physics; Linear and Multilinear Algebras, Matrix Theory; Mathematical and Computational Engineering; Geometry; Math Applications in Computer Science; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Building Energy Modeling with OpenStudio,"Larry Brackney, Andrew Parker, Daniel Macumber, Kyle Benne",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-77808-2,978-3-319-77809-9,EN,English/International,40367,Energy,,,,,,http://doi.org/10.1007/978-3-319-77809-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77809-9,"Energy; Sustainable Architecture/Green Buildings; Mechanical Engineering; Energy Efficiency; Building Physics, HVAC; Building Construction and Design",Springer International Publishing,Springer
Customer Relationship Management,"V. Kumar, Werner Reinartz",3rd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-55380-0,978-3-662-55381-7,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-55381-7,http://link.springer.com/openurl?genre=book&isbn=978-3-662-55381-7,Business and Management; Customer Relationship Management; Big Data/Analytics; Business Strategy/Leadership,Springer Berlin Heidelberg,Springer
The A-Z of the PhD Trajectory,Eva O. L. Lantsoght,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-77424-4,978-3-319-77425-1,EN,English/International,41171,Education,,2366-7672,2366-7680,Springer Texts in Education,,http://doi.org/10.1007/978-3-319-77425-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77425-1,Education; Research Skills; Thesis and Dissertation; Higher Education; Personal Development; Writing Skills,Springer International Publishing,Springer
Strategic Human Resource Management and Employment Relations,Ashish Malik,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-13-0398-2,978-981-13-0399-9,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-981-13-0399-9,http://link.springer.com/openurl?genre=book&isbn=978-981-13-0399-9,Business and Management; Human Resource Management; Organization; Business Strategy/Leadership,Springer Singapore,Springer
Applied Linear Algebra,"Peter J. Olver, Chehrzad Shakiban",2nd ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-91040-6,978-3-319-91041-3,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-319-91041-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91041-3,"Mathematics; Linear and Multilinear Algebras, Matrix Theory; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Witnessing Torture,"Alexandra S. Moore, Elizabeth Swanson",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-74964-8,978-3-319-74965-5,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,Palgrave Studies in Life Writing,,http://doi.org/10.1007/978-3-319-74965-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-74965-5,"Literature; Contemporary Literature; Postcolonial/World Literature; Human Rights and Crime; Social Justice, Equality and Human Rights; Human Rights; Terrorism and Political Violence",Springer International Publishing,Palgrave Macmillan
Proofs from THE BOOK,"Martin Aigner, Günter M. Ziegler",6th ed. 2018,Undergraduate textbook,2018,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-57264-1,978-3-662-57265-8,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-662-57265-8,http://link.springer.com/openurl?genre=book&isbn=978-3-662-57265-8,Mathematics; Number Theory; Geometry; Analysis; Combinatorics; Graph Theory; Mathematics of Computing,Springer Berlin Heidelberg,Springer
Introduction to General Relativity,Cosimo Bambi,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-13-1089-8,978-981-13-1090-4,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-981-13-1090-4,http://link.springer.com/openurl?genre=book&isbn=978-981-13-1090-4,"Physics; Classical and Quantum Gravitation, Relativity Theory; Astronomy, Astrophysics and Cosmology",Springer Singapore,Springer
Introduction to Particle and Astroparticle Physics,"Alessandro De Angelis, Mário Pimenta",2nd ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-78180-8,978-3-319-78181-5,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-78181-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78181-5,Physics; Astrophysics and Astroparticles; Particle and Nuclear Physics,Springer International Publishing,Springer
Fundamentals of Java Programming,Mitsunori Ogihara,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-89490-4,978-3-319-89491-1,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-89491-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-89491-1,"Computer Science; Java; Programming Languages, Compilers, Interpreters; Programming Techniques",Springer International Publishing,Springer
Optimization of Process Flowsheets through Metaheuristic Techniques ,"José María Ponce-Ortega, Luis Germán Hernández-Pérez",1st ed. 2019,Undergraduate textbook,2019,"Springer International Publishing AG, part of Springer Nature",978-3-319-91721-4,978-3-319-91722-1,EN,English/International,42732,Intelligent Technologies and Robotics,,,,,,http://doi.org/10.1007/978-3-319-91722-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91722-1,Engineering; Computational Intelligence; Industrial Chemistry/Chemical Engineering,Springer International Publishing,Springer
Robotics,"Matjaž Mihelj, Tadej Bajd, Aleš Ude, Jadran Lenarčič, Aleš Stanovnik, Marko Munih, Jure Rejc, Sebastjan Šlajpah",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-72910-7,978-3-319-72911-4,EN,English/International,42732,Intelligent Technologies and Robotics,,,,,,http://doi.org/10.1007/978-3-319-72911-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72911-4,"Engineering; Control, Robotics, Mechatronics",Springer International Publishing,Springer
Business Ethics - A Philosophical and Behavioral Approach,Christian A. Conrad,1st ed. 2018,Undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-91574-6,978-3-319-91575-3,EN,English/International,41175,Religion and Philosophy,,,,,,http://doi.org/10.1007/978-3-319-91575-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91575-3,Philosophy; Business Ethics; Business Ethics; Sociology of Work; Business Strategy/Leadership; Industrial and Organizational Psychology; Human Resource Development,Springer International Publishing,Springer
A First Introduction to Quantum Physics,Pieter Kok,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-92206-5,978-3-319-92207-2,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-92207-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92207-2,"Physics; Quantum Physics; Mathematical Methods in Physics; Quantum Field Theories, String Theory; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Argumentation Theory: A Pragma-Dialectical Perspective,Frans H. van Eemeren,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-95380-9,978-3-319-95381-6,EN,English/International,41175,Religion and Philosophy,,1566-7650,2215-1907,Argumentation Library,33,http://doi.org/10.1007/978-3-319-95381-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95381-6,Philosophy; Business Ethics; Political Philosophy; Social Philosophy; Moral Philosophy,Springer International Publishing,Springer
Logical Foundations of Cyber-Physical Systems,André Platzer,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-63587-3,978-3-319-63588-0,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-63588-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-63588-0,"Computer Science; Mathematical Logic and Formal Languages; Mathematical Logic and Foundations; Control, Robotics, Mechatronics; Quality Control, Reliability, Safety and Risk",Springer International Publishing,Springer
Off-Grid Electrical Systems in Developing Countries,Henry Louie,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-91889-1,978-3-319-91890-7,EN,English/International,40367,Energy,,,,,,http://doi.org/10.1007/978-3-319-91890-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91890-7,"Energy; Renewable and Green Energy; Energy Systems; Energy Policy, Economics and Management; Development and Sustainability",Springer International Publishing,Springer
Entertainment Science,"Thorsten Hennig-Thurau, Mark B. Houston",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,"Springer International Publishing AG, part of Springer Nature",978-3-319-89290-0,978-3-319-89292-4,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-319-89292-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-89292-4,Business and Management; Media Management; Market Research/Competitive Intelligence; Popular Science in Business and Management; Big Data/Analytics,Springer International Publishing,Springer
Physics of Oscillations and Waves,Arnt Inge Vistnes,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-72313-6,978-3-319-72314-3,EN,English/International,11651,Physics and Astronomy,,2510-411X,2510-4128,Undergraduate Texts in Physics,,http://doi.org/10.1007/978-3-319-72314-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72314-3,"Physics; Classical Mechanics; Mathematical Methods in Physics; Numerical and Computational Physics, Simulation; Atmospheric Sciences; Fluid- and Aerodynamics",Springer International Publishing,Springer
Introduction to Programming with Fortran,"Ian Chivers, Jane Sleightholme",4th ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-75501-4,978-3-319-75502-1,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-75502-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75502-1,"Computer Science; Programming Languages, Compilers, Interpreters; Programming Techniques; Software Engineering",Springer International Publishing,Springer
Fundamentals of Solid State Engineering,Manijeh Razeghi,4th ed. 2019,Undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-75707-0,978-3-319-75708-7,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-75708-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75708-7,"Engineering; Electronics and Microelectronics, Instrumentation; Optical and Electronic Materials; Solid State Physics; Spectroscopy and Microscopy; Nanotechnology",Springer International Publishing,Springer
Introduction to Digital Systems Design,"Giuliano Donzellini, Luca Oneto, Domenico Ponta, Davide Anguita",1st ed. 2019,Undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-92803-6,978-3-319-92804-3,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-92804-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92804-3,Engineering; Electrical Engineering; Logic Design; Algorithms,Springer International Publishing,Springer
Neural Networks and Deep Learning,Charu C. Aggarwal,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-94462-3,978-3-319-94463-0,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-94463-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94463-0,Computer Science; Information Systems and Communication Service; Processor Architectures,Springer International Publishing,Springer
Data Science and Predictive Analytics,Ivo D. Dinov,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Ivo D. Dinov,978-3-319-72346-4,978-3-319-72347-1,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-72347-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-72347-1,Computer Science; Big Data; Big Data/Analytics; Health Informatics; Probability and Statistics in Computer Science; Data Mining and Knowledge Discovery,Springer International Publishing,Springer
Systems Programming in Unix/Linux,K.C. Wang,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-92428-1,978-3-319-92429-8,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-92429-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92429-8,"Computer Science; Programming Techniques; Programming Languages, Compilers, Interpreters; Data Structures; Operating Systems",Springer International Publishing,Springer
Analytical Corporate Finance,Angelo Corelli,2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-95761-6,978-3-319-95762-3,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-95762-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95762-3,Business and Management; Business Finance; Risk Management; Quantitative Finance; Financial Engineering; Financial Accounting,Springer International Publishing,Springer
Fraud and Corruption,"Peter C. Kratcoski, Maximilian Edelbacher",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-92332-1,978-3-319-92333-8,EN,English/International,41177,Law and Criminology,,,,,,http://doi.org/10.1007/978-3-319-92333-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-92333-8,Criminology and Criminal Justice; White Collar Crime,Springer International Publishing,Springer
Conferencing and Presentation English for Young Academics,Michael Guest,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-13-2474-1,978-981-13-2475-8,EN,English/International,41171,Education,,2366-7672,2366-7680,Springer Texts in Education,,http://doi.org/10.1007/978-981-13-2475-8,http://link.springer.com/openurl?genre=book&isbn=978-981-13-2475-8,Education; Language Education; Applied Linguistics; English,Springer Singapore,Springer
A Concise Guide to Market Research,"Marko Sarstedt, Erik Mooi",3rd ed. 2019,Undergraduate textbook,2019,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-662-56706-7,978-3-662-56707-4,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-56707-4,http://link.springer.com/openurl?genre=book&isbn=978-3-662-56707-4,Business and Management; Marketing; Management; Statistics for Business/Economics/Mathematical Finance/Insurance,Springer Berlin Heidelberg,Springer
Global Supply Chain and Operations Management,"Dmitry Ivanov, Alexander Tsipoulanidis, Jörn Schönberger",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-94312-1,978-3-319-94313-8,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-94313-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94313-8,Business and Management; Operations Management; Operations Research/Decision Theory,Springer International Publishing,Springer
Introduction to Parallel Computing,"Roman Trobec, Boštjan Slivnik, Patricio Bulić, Borut Robič",1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-98832-0,978-3-319-98833-7,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-98833-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-98833-7,Computer Science; Programming Techniques; Processor Architectures; Control Structures and Microprogramming; Numeric Computing,Springer International Publishing,Springer
Mathematical Logic,Roman Kossak,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG part of Springer Nature,978-3-319-97297-8,978-3-319-97298-5,EN,English/International,41175,Religion and Philosophy,,2627-6046,2627-6054,Springer Graduate Texts in Philosophy,3,http://doi.org/10.1007/978-3-319-97298-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-97298-5,Philosophy; Philosophy of Mathematics; Mathematical Logic and Foundations; Arithmetic and Logic Structures; Logic; Applications of Mathematics,Springer International Publishing,Springer
Stability and Control of Linear Systems,Andrea Bacciotti,1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-02404-8,978-3-030-02405-5,EN,English/International,42732,Intelligent Technologies and Robotics,,2198-4182,2198-4190,"Studies in Systems, Decision and Control",185,http://doi.org/10.1007/978-3-030-02405-5,http://link.springer.com/openurl?genre=book&isbn=978-3-030-02405-5,"Engineering; Control; Systems Theory, Control; Ordinary Differential Equations; Engineering Mathematics",Springer International Publishing,Springer
Introduction to Formal Philosophy,"Sven Ove Hansson, Vincent F. Hendricks",1st ed. 2018,Undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-77433-6,978-3-319-77434-3,EN,English/International,41175,Religion and Philosophy,,2569-8737,2569-8753,Springer Undergraduate Texts in Philosophy,,http://doi.org/10.1007/978-3-319-77434-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77434-3,"Philosophy; Analytic Philosophy; Mathematical Logic and Formal Languages; Mathematical Logic and Foundations; Theoretical, Mathematical and Computational Physics; Moral Philosophy",Springer International Publishing,Springer
Analysis for Computer Scientists,"Michael Oberguggenberger, Alexander Ostermann",2nd ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-91154-0,978-3-319-91155-7,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-91155-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91155-7,Computer Science; Math Applications in Computer Science; Computational Mathematics and Numerical Analysis; Mathematical and Computational Engineering; Discrete Mathematics in Computer Science,Springer International Publishing,Springer
International Business Management,"Kamal Fatehi, Jeongho Choi",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-96621-2,978-3-319-96622-9,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-96622-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96622-9,Business and Management; Cross-Cultural Management; Business Strategy/Leadership; Human Resource Management; Business Information Systems,Springer International Publishing,Springer
Research Methods for the Digital Humanities,"lewis levenberg, Tai Neilson, David Rheams",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-96712-7,978-3-319-96713-4,EN,English/International,41173,"Literature, Cultural and Media Studies",,,,,,http://doi.org/10.1007/978-3-319-96713-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96713-4,Cultural and Media Studies; Digital/New Media; Digital Humanities; Research Methodology; Media Research; Culture and Technology,Springer International Publishing,Palgrave Macmillan
Introductory Computer Forensics,Xiaodong Lin,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-030-00580-1,978-3-030-00581-8,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-030-00581-8,http://link.springer.com/openurl?genre=book&isbn=978-3-030-00581-8,Computer Science; Security; Forensic Science; Cybercrime; Multimedia Information Systems,Springer International Publishing,Springer
Control Engineering,"László Keviczky, Ruth Bars, Jenő Hetthéssy, Csilla Bányász",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Singapore Pte Ltd.,978-981-10-8296-2,978-981-10-8297-9,EN,English/International,42732,Intelligent Technologies and Robotics,,1439-2232,2510-3814,Advanced Textbooks in Control and Signal Processing,,http://doi.org/10.1007/978-981-10-8297-9,http://link.springer.com/openurl?genre=book&isbn=978-981-10-8297-9,"Engineering; Control; Systems Theory, Control; Computer Applications",Springer Singapore,Springer
Control Engineering: MATLAB Exercises,"László Keviczky, Ruth Bars, Jenő Hetthéssy, Csilla Bányász",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Singapore Pte Ltd.,978-981-10-8320-4,978-981-10-8321-1,EN,English/International,42732,Intelligent Technologies and Robotics,,1439-2232,2510-3814,Advanced Textbooks in Control and Signal Processing,,http://doi.org/10.1007/978-981-10-8321-1,http://link.springer.com/openurl?genre=book&isbn=978-981-10-8321-1,"Engineering; Control; Systems Theory, Control; Computer Applications",Springer Singapore,Springer
"ENZYMES: Catalysis, Kinetics and Mechanisms",N.S. Punekar,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Singapore Pte Ltd.,978-981-13-0784-3,978-981-13-0785-0,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-981-13-0785-0,http://link.springer.com/openurl?genre=book&isbn=978-981-13-0785-0,Life Sciences; Enzymology; Protein-Ligand Interactions; Biomedical Engineering/Biotechnology; Applied Microbiology; Protein Structure,Springer Singapore,Springer
Automatic Control with Experiments,"Victor Manuel Hernández-Guzmán, Ramón Silva-Ortigoza",1st ed. 2019,Undergraduate textbook,2019,"Springer International Publishing AG, part of Springer Nature",978-3-319-75803-9,978-3-319-75804-6,EN,English/International,42732,Intelligent Technologies and Robotics,,1439-2232,2510-3814,Advanced Textbooks in Control and Signal Processing,,http://doi.org/10.1007/978-3-319-75804-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-75804-6,"Engineering; Control; Systems Theory, Control; Power Electronics, Electrical Machines and Networks; Industrial and Production Engineering",Springer International Publishing,Springer
Internet of Things From Hype to Reality,"Ammar Rayes, Samer Salam",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-99515-1,978-3-319-99516-8,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-99516-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99516-8,"Engineering; Communications Engineering, Networks; Electronics and Microelectronics, Instrumentation; Information Systems Applications (incl.Internet); User Interfaces and Human Computer Interaction",Springer International Publishing,Springer
Quantitative Methods for the Social Sciences,Daniel Stockemer,1st ed. 2019,Undergraduate textbook,2019,Springer International Publishing AG,978-3-319-99117-7,978-3-319-99118-4,EN,English/International,41176,Social Sciences,,,,,,http://doi.org/10.1007/978-3-319-99118-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-99118-4,"Social Sciences; Methodology of the Social Sciences; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Statistics and Computing/Statistics Programs",Springer International Publishing,Springer
A Pythagorean Introduction to Number Theory,Ramin Takloo-Bighash,1st ed. 2018,Undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-030-02603-5,978-3-030-02604-2,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-030-02604-2,http://link.springer.com/openurl?genre=book&isbn=978-3-030-02604-2,Mathematics; Number Theory,Springer International Publishing,Springer
Philosophical and Mathematical Logic,Harrie de Swart,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-030-03253-1,978-3-030-03255-5,EN,English/International,41175,Religion and Philosophy,,2569-8737,2569-8753,Springer Undergraduate Texts in Philosophy,,http://doi.org/10.1007/978-3-030-03255-5,http://link.springer.com/openurl?genre=book&isbn=978-3-030-03255-5,Philosophy; Epistemology; Mathematical Logic and Formal Languages; Mathematical Logic and Foundations,Springer International Publishing,Springer
Structural Dynamics,"Mario Paz, Young Hoon Kim",6th ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-319-94742-6,978-3-319-94743-3,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-94743-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-94743-3,Engineering; Civil Engineering,Springer International Publishing,Springer
